,rAB,rBC,rCD,rAC,rBD,rAD,C1,C2,C3,C4,lg
1201,0.046230075,0.071190492,0.048242483,0.047008297,0.049612591,0.020047849,10.69724046,10.16484103,1.206712363,3.15E-06,9
1202,0.055988329,0.012690355,0.02284264,0.058528767,0.020304569,0.055989191,7.14268073,26.2666665,3.969669614,1.79E-06,9
1203,0.016714014,0.019499524,0.011142994,0.013928504,0.013928504,0.013928504,34.18838154,38.46138061,14.9587885,767.0704462,9
1204,0.5,0.5,0.5,0.024115654,0.006040017,0.5,1.951768693,1.987919966,1.939688826,3.879377486,9
1205,0.008064751,0.00537658,0.008064751,0.008064751,0.008064751,0.010752921,61.99819665,61.99819665,0.001832855,0.170448076,9
1206,0.004545691,0.013636596,0.009091143,0.009091143,0.009091143,0.004545691,73.33016305,54.99858383,0.002884641,0.105768356,9
1207,0.015765383,0.5,0.018013337,0.5,0.5,0.5,1,1,0.000571334,0.000571334,9
1208,0.5,0.012249669,0.5,0.5,0.5,0.00919099,1,1,1.957118713,1.20E-06,9
1209,0.011299668,0.011299668,0.025423955,0.011299668,0.025423955,0.025423955,44.24908744,19.66649162,0.000414955,0.018361393,9
1210,0.007389397,0.012315503,0.014778556,0.014778556,0.007389397,0.00985245,27.06659223,54.13209284,0.001091614,0.044318687,9
1211,0.022727387,0.025252638,0.002525371,0.002525371,0.022727387,1.19E-07,39.59971865,39.59888785,0.001038497,0.020562155,9
1212,0.011236188,0.008427201,0.01966315,0.01966315,0.011236188,0.022472138,0.001258948,50.85583105,0.000539558,0.032012874,9
1213,0.01172571,0.014649508,0.5,0.014649508,0.5,0.5,34.13083839,1,1,34.13083839,9
1214,0.034189923,0.5,0.5,0.5,0.01555752,0.031084523,1,1.96888496,1,1.454139732,9
1215,0.00914971,0.005926102,0.014982999,0.01507557,0.015108054,0.024255116,0.002226359,32.66694075,0.009221557,0.037331116,9
1216,0.026316241,0.028947818,0.036842547,0.050000429,0.044737276,0.065789888,3.454742219,9.870072506,0.000245905,0.004247377,9
1217,0.004881996,0.5,0.017049731,0.5,0.5,0.5,1,1,6.33E-05,6.33E-05,9
1218,0.5,0.5,0.014452714,0.045700807,0.5,0.036086009,1.908598386,1,1,0.334741031,9
1219,0.5,0.5,0.01814942,0.005196448,0.5,0.01814942,1.989607104,1,1,1.713685192,9
1220,0.5,0.027055895,0.018047436,0.5,0.033061534,0.5,1,12.33059046,1,12.33059046,9
1221,0.5,0.5,0.5,0.053617744,0.017892187,0.5,1.892764511,1.964215627,1.857018254,3.713998392,9
1222,0.017431099,0.5,0.004990954,0.5,0.5,0.5,1,1,7.07E-05,7.07E-05,9
